Sl. No,Food Item,Recipe,Approximate Calorie per Serving
11,Alu Fry (Chattogram),"To prepare Alu Fry in the Chattogram style, a crisp, spicy, and coastal-flavored potato dish that reflects the region’s fondness for sharp chili heat and mustard oil, begin by peeling and cutting 3 medium-sized potatoes into thin matchstick-like pieces or small wedges. Wash and pat them dry to remove excess starch. Heat 3 tablespoons of mustard oil in a heavy pan until it begins to smoke lightly, then reduce the heat.

Add 1 teaspoon of mustard seeds and let them splutter. Immediately add 1 large onion, thinly sliced, and sauté until light golden. Stir in 1 teaspoon of garlic paste and 1 half teaspoon of ginger paste, frying until aromatic. Now, add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 half teaspoon of roasted cumin powder, and salt to taste. Mix well with a small splash of water and fry the masala until oil separates.

Add the potato pieces and toss thoroughly so they are evenly coated with the spice mixture. Cook uncovered on medium heat for about 10–12 minutes, stirring occasionally to ensure even frying and slight crisping on the edges. When the potatoes turn deep golden and dry, add 4–5 slit green chilies and 1 teaspoon of lemon juice for a tangy finish. Stir for another minute, then turn off the heat.

Garnish with a few chopped coriander leaves and serve hot — best enjoyed with plain rice, dal, or paratha.",230
12,Alu Fry (Rajshahi),"To prepare Alu Fry, a simple yet flavorful Rajshahi-style potato dish, begin by peeling and slicing 3–4 medium potatoes into thin sticks or wedges, then washing them well and patting dry. In a frying pan, heat 3 tablespoons of mustard oil until lightly smoking, then add ½ teaspoon nigella seeds and 2–3 slit green chilies, letting them splutter for aroma. Add the potato slices, sprinkle with ½ teaspoon turmeric powder, 1 teaspoon red chili powder, and salt to taste, and fry on medium heat, stirring occasionally so they cook evenly without sticking. Continue frying until the potatoes turn golden, crisp on the outside, and soft inside, which usually takes about 12–15 minutes. Finish with a drizzle of raw mustard oil for an extra punch of flavor. Serve hot with plain bhaat and lentils as a homestyle side.",200
13,Alu Fry (Rangpur),"To prepare Alu Fry in the Rangpur style, a bold and rustic dish known for its smoky mustard flavor and fiery spice, start by peeling and slicing 3 medium-sized potatoes into thin strips or small cubes. Rinse them in water and pat dry to remove excess starch. Heat 3 tablespoons of mustard oil in a pan until it begins to smoke, then lower the flame.

Add 1 teaspoon of black mustard seeds and let them splutter, releasing their aroma. Next, add 1 large onion, finely sliced, and sauté until golden brown. Mix in 1 teaspoon of garlic paste and 1 half teaspoon of ginger paste, stirring until the raw smell fades. Reduce the heat and add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 half teaspoon of coriander powder, 1 half teaspoon of roasted cumin powder, and salt to taste. Add a small splash of water to blend the spices, then fry until oil separates and the masala becomes aromatic.

Now, add the potato slices and coat them evenly in the spiced mixture. Cook uncovered on medium heat, stirring frequently, for about 12–15 minutes until the potatoes are crisp and golden brown on the outside but tender inside. Toward the end, add 4 slit green chilies and drizzle a few drops of raw mustard oil for extra sharpness — a signature of Rangpur cuisine.

Finish with a sprinkle of chopped coriander leaves and serve hot as a side dish with rice and lentils or khichuri.",225
14,Alu Fry (Sylhet),"To prepare Alu Fry in the Sylhet style, a light, flavorful, and mildly spicy potato dish known for its simplicity and aromatic touch, begin by peeling and thinly slicing 3 medium-sized potatoes into long strips or small wedges. Wash them thoroughly and pat dry. Heat 3 tablespoons of mustard oil or soybean oil in a frying pan until it begins to shimmer.

Add 1 large onion, finely sliced, and sauté over medium heat until translucent and lightly golden. Stir in 1 teaspoon of garlic paste and 1 half teaspoon of ginger paste, cooking until the raw aroma disappears. Now, reduce the heat and add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 half teaspoon of roasted cumin powder, and salt to taste. Sprinkle a few drops of water and fry the spices until oil separates.

Add the sliced potatoes and toss thoroughly to coat them evenly with the masala. Cook uncovered over medium heat for 10–12 minutes, stirring occasionally, until the potatoes turn golden brown and slightly crisp on the edges. Add 3–4 slit green chilies and a handful of chopped coriander leaves, stirring for another minute to infuse the flavor.

For an authentic Sylheti finish, drizzle a few drops of fresh lemon juice before turning off the heat. Serve hot with plain rice, khichuri, or paratha.",220
15,Alu Fry (Tribal),"To prepare Alu Fry in the Tribal style, a traditional hill-tracts-inspired dish known for its earthy simplicity and use of natural ingredients, start by peeling and cutting 3 medium-sized potatoes into thin wedges or cubes. Boil them lightly for 3–4 minutes, drain, and set aside. Heat 3 tablespoons of sesame or mustard oil in a thick-bottomed pan over medium flame.

Add 1 teaspoon of crushed dry red chilies and 3–4 cloves of crushed garlic (not paste) and sauté gently until fragrant. Add 1 small onion, coarsely chopped, and cook until it turns soft and translucent. Stir in 1 teaspoon of turmeric powder, 1 half teaspoon of salt (adjust to taste), and 1 teaspoon of freshly ground black pepper or roasted chili flakes — typical to hill cuisine. Mix well.

Now, add the half-boiled potato pieces and stir-fry continuously on medium-high heat for about 10–12 minutes until they turn golden brown and develop a slightly crisp surface. Avoid adding water — the texture should remain dry and roasted. Toward the end, add a few sliced green chilies and 1 tablespoon of finely chopped spring onions or wild coriander (if available) for a fresh, herbal aroma.

For an authentic touch, drizzle a few drops of bamboo shoot oil or smoked mustard oil (if available) before removing from heat — this imparts the characteristic tribal smokiness. Serve warm with sticky rice, boiled vegetables, or hill-style chutney.",215
16,Alu Grilled (Barisal),"To prepare Alu Grilled in the Barisal style, a smoky, mildly tangy, and mustard-flavored potato delicacy that reflects the coastal Barisal palate, begin by washing and peeling 3 medium-sized potatoes. Cut them into thick round slices or wedges and boil them halfway (parboil) until slightly tender but not mushy. Drain and let them cool.

In a mixing bowl, prepare the marinade by combining 2 tablespoons of mustard oil, 1 teaspoon of mustard paste, 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 half teaspoon of cumin powder, 1 teaspoon of lemon juice, 1 teaspoon of garlic paste, and salt to taste. Mix well until smooth. Add the parboiled potatoes to the marinade, tossing gently to coat each piece evenly. Allow the mixture to rest for about 20–30 minutes to absorb the flavors.

Preheat a grill pan or oven to medium-high heat. Brush the surface lightly with oil. Arrange the marinated potato slices in a single layer and grill for 3–4 minutes on each side (or until golden-brown grill marks appear and the edges become crisp). While grilling, brush occasionally with the remaining marinade to retain flavor and moisture.

Once done, sprinkle 1 half teaspoon of Garam Masala and garnish with finely chopped coriander leaves and 2–3 slit green chilies for an aromatic finish. Serve hot with puffed rice (muri), dal-bhat, or as a spicy vegetarian appetizer.",225
17,Alu Grilled (Dhaka),"To prepare an authentic Dhaka-style Alu Bhuna, a rich and spicy potato curry that achieves a flavor similar to grilling, start by peeling and cutting 2 large potatoes into small cubes. In a heavy-bottomed pan, heat 3 tablespoons of mustard oil and add a few whole spices like cardamom pods and a small cinnamon stick. Now, add 1 large sliced onion and fry until it becomes golden brown. Add 1 tablespoon of ginger-garlic paste, 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of cumin powder, and a pinch of salt. Cook the spices until fragrant, adding a splash of water to prevent them from burning. Now, add the potato cubes and sauté on medium-high heat until they are well-coated with the spices. Pour in about 1 cup of hot water, reduce the heat to low, and cover the pan to let the potatoes simmer for 15-20 minutes, or until they are very tender and the gravy has thickened to a rich, dark brown color. The long cooking process gives the potatoes a deep, savory, and almost roasted flavor that is perfect with rice or roti.",210
18,Alu Grilled (Hill Tracts),"To prepare Alu Grilled in the Hill Tracts style, a smoky and earthy version with a subtle herbal aroma, start by washing and peeling 3 medium-sized potatoes. Cut them into thick wedges or rounds and parboil for 5–6 minutes until slightly tender but firm enough to hold shape. Drain and set aside.

In a bowl, prepare the marinade by mixing 2 tablespoons of sesame or mustard oil, 1 teaspoon of crushed garlic, 1 teaspoon of ginger paste, 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 half teaspoon of salt (adjust to taste), and 1 teaspoon of crushed local herbs such as coriander stems or wild spinach leaves (optional, for authentic tribal flavor). Toss the parboiled potatoes in the marinade, ensuring all pieces are coated evenly. Allow them to rest for 15–20 minutes to absorb the flavors.

Preheat a grill pan or open flame. Arrange the marinated potato wedges in a single layer and grill for 4–5 minutes on each side until golden-brown grill marks appear and the edges become crisp. While grilling, brush lightly with remaining marinade to retain moisture and flavor.

Once done, sprinkle a few chopped fresh coriander leaves and a few sliced green chilies for aroma. Serve hot as a side dish with sticky rice or boiled vegetables.",230
19,Alu Grilled (Khulna),"To prepare Alu Grilled in the Khulna style, a flavorful and mildly spicy grilled potato dish with a hint of coastal aroma, start by washing and peeling 3 medium-sized potatoes. Cut them into thick wedges or rounds and parboil for 5–6 minutes until slightly tender but still firm. Drain and set aside.

Prepare the marinade by mixing 2 tablespoons of mustard oil, 1 teaspoon of ginger paste, 1 teaspoon of garlic paste, 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 half teaspoon of cumin powder, 1 teaspoon of lemon juice, and salt to taste. Toss the parboiled potato wedges in the marinade until evenly coated. Allow them to rest for 15–20 minutes for the flavors to infuse.

Preheat a grill pan or oven to medium-high heat and lightly oil the surface. Arrange the marinated potato wedges in a single layer and grill for 4–5 minutes on each side, or until golden-brown grill marks appear and the edges become crisp. While grilling, brush with the remaining marinade to maintain flavor and moisture.

Once done, sprinkle 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves and a few slit green chilies. Serve hot as a side dish with steamed rice, dal, or flatbreads.",225
20,Alu Grilled (Mymensingh),"To prepare Alu Grilled in the Mymensingh style, a mildly spiced and aromatic grilled potato dish, start by washing and peeling 3 medium-sized potatoes. Cut them into thick wedges or rounds and parboil for 5–6 minutes until slightly tender but still firm. Drain and set aside.

Prepare the marinade by combining 2 tablespoons of mustard or soybean oil, 1 teaspoon of ginger paste, 1 teaspoon of garlic paste, 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 half teaspoon of cumin powder, 1 teaspoon of yogurt (for slight tanginess), and salt to taste. Toss the parboiled potato wedges in the marinade until each piece is well-coated. Allow them to rest for 20 minutes to absorb the flavors.

Preheat a grill pan or oven to medium-high heat and lightly oil the surface. Arrange the marinated potato wedges in a single layer and grill for 4–5 minutes on each side until golden-brown and slightly crisp on the edges. While grilling, brush lightly with the remaining marinade to retain flavor and moisture.

Once done, garnish with freshly chopped coriander leaves and 2–3 slit green chilies for aroma. Serve hot as a side dish with steamed rice, khichuri, or flatbreads.",225
21,Alu Grilled (Sylhet),"To prepare Alu Grilled in the Sylhet style, a simple yet aromatic grilled potato dish with a mildly spicy flavor, start by washing and peeling 3 medium-sized potatoes. Cut them into thick wedges or rounds and parboil for 5–6 minutes until slightly tender but still firm. Drain and set aside.

Prepare the marinade by mixing 2 tablespoons of mustard oil or soybean oil, 1 teaspoon of ginger paste, 1 teaspoon of garlic paste, 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 half teaspoon of cumin powder, and salt to taste. Toss the parboiled potato wedges in the marinade until all pieces are evenly coated. Let them rest for 15–20 minutes to absorb the flavors.

Preheat a grill pan or oven to medium-high heat and lightly oil the surface. Arrange the marinated potato wedges in a single layer and grill for 4–5 minutes on each side, or until golden-brown and crisp on the edges. While grilling, brush occasionally with the remaining marinade to retain moisture and flavor.

Once done, sprinkle 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves and 3–4 slit green chilies. Serve hot as a side dish with steamed rice, khichuri, or paratha.",230
22,Alu Grilled (Tribal),"To prepare Alu Grilled in the Tribal style, a smoky and earthy potato dish inspired by hill-tract flavors, start by washing and peeling 3 medium-sized potatoes. Cut them into thick wedges or rounds and parboil for 5–6 minutes until slightly tender but still firm. Drain and set aside.

Prepare the marinade by mixing 2 tablespoons of sesame or mustard oil, 1 teaspoon of crushed garlic, 1 teaspoon of ginger paste, 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 half teaspoon of salt, and 1 teaspoon of crushed local herbs or wild coriander (optional for authentic tribal flavor). Toss the parboiled potato wedges in the marinade until well coated. Allow them to rest for 15–20 minutes.

Preheat a grill pan or open flame to medium-high heat and lightly oil the surface. Arrange the marinated potato wedges in a single layer and grill for 4–5 minutes on each side until golden-brown and slightly crisp. Brush occasionally with the remaining marinade to retain flavor and moisture.

Once grilled, garnish with chopped fresh coriander leaves and 2–3 slit green chilies. Serve hot as a side dish with rice or flatbreads.",230
23,Alu Jhol (Barisal),"To prepare Alu Jhol in the Barisal style, a light and mildly spiced potato curry, start by peeling and cubing 3 medium-sized potatoes. Set them aside.

In a pan, heat 3 tablespoons of mustard or soybean oil until hot. Add 1 teaspoon of cumin seeds and let them splutter. Add 1 large chopped onion and sauté until golden brown. Stir in 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until aromatic.

Add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, and salt to taste. Mix well. Add the potato cubes and sauté for 2–3 minutes to coat them evenly with the spices. Add 1.5 cups of water and 2 slit green chilies, then cover and simmer for 10–12 minutes, or until the potatoes are tender and the gravy has a light consistency.

Finish by sprinkling 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves. Serve hot with steamed rice.",235
24,Alu Jhol (Chattogram),"To prepare Alu Jhol in the Chattogram style, a light and mildly spiced potato curry, start by peeling and cubing 3 medium-sized potatoes. Set them aside.

In a pan, heat 3 tablespoons of mustard or soybean oil until hot. Add 1 teaspoon of cumin seeds and let them splutter. Add 1 large chopped onion and sauté until golden brown. Stir in 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until aromatic.

Add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, and salt to taste. Mix well. Add the potato cubes and sauté for 2–3 minutes to coat them evenly with the spices. Add 1.5 cups of water and 2 slit green chilies, then cover and simmer for 10–12 minutes, or until the potatoes are tender and the gravy has a light consistency.

Finish by sprinkling 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves. Serve hot with steamed rice.",240
25,Alu Jhol (Khulna),"To prepare Alu Jhol in the Khulna style, a light and mildly spiced potato curry, start by peeling and cubing 3 medium-sized potatoes. Set them aside.

In a pan, heat 3 tablespoons of mustard or soybean oil until hot. Add 1 teaspoon of cumin seeds and let them splutter. Add 1 large chopped onion and sauté until golden brown. Stir in 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until aromatic.

Add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, and salt to taste. Mix well. Add the potato cubes and sauté for 2–3 minutes to coat them evenly with the spices. Add 1.5 cups of water and 2 slit green chilies, then cover and simmer for 10–12 minutes, or until the potatoes are tender and the gravy has a light consistency.

Finish by sprinkling 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves. Serve hot with steamed rice.",235
26,Alu Jhol (Mymensingh),"To prepare Alu Jhol in the Mymensingh style, a light and mildly spiced potato curry, start by peeling and cubing 3 medium-sized potatoes. Set them aside.

In a pan, heat 3 tablespoons of mustard or soybean oil until hot. Add 1 teaspoon of cumin seeds and let them splutter. Add 1 large chopped onion and sauté until golden brown. Stir in 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until aromatic.

Add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, and salt to taste. Mix well. Add the potato cubes and sauté for 2–3 minutes to coat them evenly with the spices. Add 1.5 cups of water and 2 slit green chilies, then cover and simmer for 10–12 minutes, or until the potatoes are tender and the gravy has a light consistency.

Finish by sprinkling 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves. Serve hot with steamed rice.",240
27,Alu Jhol (Tribal),"To prepare Alu Jhol in the Tribal style, a light, earthy, and mildly spiced potato curry inspired by hill-tract flavors, start by peeling and cubing 3 medium-sized potatoes. Set them aside.

In a pan, heat 3 tablespoons of sesame or mustard oil until hot. Add 1 teaspoon of cumin seeds and let them splutter. Add 1 large chopped onion and sauté until golden brown. Stir in 1 teaspoon of crushed garlic and 1 teaspoon of ginger paste, cooking until fragrant.

Add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, and salt to taste. Mix well. Add the potato cubes and sauté for 2–3 minutes to coat them evenly with the spices. Add 1.5 cups of water and 2 slit green chilies, then cover and simmer for 10–12 minutes, or until the potatoes are tender and the gravy has a light consistency.

Finish by sprinkling 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves. Serve hot with steamed rice.",235
28,Alu Khichuri (Barisal),"To prepare Alu Khichuri in the Barisal style, a comforting and mildly spiced potato and rice dish, start by washing 1 cup of Basmati or local rice and soaking it for 15–20 minutes. Peel and cube 3 medium-sized potatoes and set them aside.

In a heavy-bottomed pot, heat 3 tablespoons of mustard or soybean oil until hot. Add 1 teaspoon of cumin seeds and let them splutter. Add 1 large chopped onion and sauté until golden brown. Stir in 1 teaspoon of ginger paste and 1 teaspoon of garlic paste, cooking until fragrant.

Add 1 teaspoon of turmeric powder, 1 teaspoon of red chili powder, 1 teaspoon of coriander powder, and salt to taste. Mix well. Add the cubed potatoes and sauté for 3–4 minutes to coat them with the spices. Drain the soaked rice and add it to the pot along with 3 cups of water or stock.

Bring to a boil, then reduce the heat to low, cover, and cook for 20–25 minutes, or until the rice and potatoes are tender and the flavors are absorbed. Stir occasionally to prevent sticking. Finish with 1 half teaspoon of Garam Masala and garnish with freshly chopped coriander leaves. Serve hot.",310
